id,invoice_id,credit_card_number,credit_card_expiration_date,result,created_at,updated_at
459,559,4350162721737391,416,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
460,560,4685066616366805,1213,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
461,561,4350312036661911,216,failed,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
462,562,4158027194097379,1114,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
463,563,4717351269517977,718,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
464,564,4159005393999216,419,success,2012-02-26 20:56:58 UTC,2012-02-26 20:56:58 UTC
465,565,4890058737935589,112,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
466,566,4076575552350280,212,failed,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
467,567,4438971654268974,1220,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
468,568,4599188655408662,814,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
469,569,4426959354436260,415,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
470,570,4753400425843917,1216,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
471,571,4302605372675914,612,failed,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
472,572,4327191927608552,818,failed,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
473,573,4393618867781683,818,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
474,574,4394870923605804,620,failed,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
475,575,4486265401321079,714,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
476,576,4653232851885639,712,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
477,577,4818107859669734,419,failed,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
478,578,4366676901102370,719,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
479,579,4101434997710285,319,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
480,580,4567236270149522,817,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
481,581,4638153735274966,816,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
482,582,4702602620803729,517,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
483,583,4181092666893529,1112,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
484,584,4183398844652608,813,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
485,585,4241190806039492,813,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
486,586,4378062314044919,212,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
487,587,4022618398188032,913,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
488,588,4671365756857413,620,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
489,589,4292599455447120,119,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
490,590,4050265592090299,114,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
491,591,4687976720745264,918,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
492,592,4005021410252154,316,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
493,593,4391575588388370,1218,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
494,594,4026994530272058,314,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
495,595,4082965194718176,912,success,2012-02-26 20:56:59 UTC,2012-02-26 20:56:59 UTC
496,596,4881883704910845,1013,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
497,597,4908887059302038,920,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
498,598,4705742874343843,719,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
499,599,4761000889527863,1119,success,2012-02-26 20:57:00 UTC,2012-02-26 20:57:00 UTC
